no,str_link,str_land_num,str_land_type,str_land_area,str_land_surface,str_land_site,str_land_high_price,str_land_low_price,str_land_condition,str_land_date,str_land_count
1,1833270,17-7812,아파트,"서울특별시 종로구 익선동 55, 현대뜨레비앙 6층 627호",59.886㎡,42.01㎡,"240,000,000","240,000,000","신건
100%","2018.11.15
10:00","1,423"
2,1804610,17-3062,아파트,"서울특별시 도봉구 쌍문동 285-5, 동익파크아파트 3동 10층 1009호",59.886㎡,42.01㎡,"300,000,000","240,000,000","유찰1회
80%","2018.11.19
10:00","3,707"
3,1863171,17-8795,아파트,"서울특별시 송파구 방이동 51-4 외1필지, 효성올림픽카운티 14층 1406호",59.886㎡,42.01㎡,"393,000,000","393,000,000","신건
100%","2018.11.19
10:00","2,001"
4,1861410,17-8948,아파트,"서울특별시 성동구 응봉동 97, 대림2차아파트 103동 4층 402호",59.886㎡,42.01㎡,"433,000,000","433,000,000","신건
100%","2018.11.19
10:00","1,640"
5,1843721,17-104675,아파트,"서울특별시 노원구 공릉동 745, 동신아파트 102동 6층 604호",59.886㎡,42.01㎡,"312,000,000","312,000,000","신건
100%","2018.11.19
10:00",883
6,1864884,18-71,아파트,"서울특별시 광진구 자양동 227-7 외6필지, 더샵스타시티 디동 31층 3105호",59.886㎡,42.01㎡,"1,310,000,000","1,310,000,000","신건
100%","2018.11.19
10:00","1,339"
7,1887124,18-4055,아파트,"서울특별시 동대문구 장안동 372-8 외2필지, 청명에버아트3차 2층 에이201호",59.886㎡,42.01㎡,"336,000,000","215,040,000","유찰2회
64%","2018.11.19
10:00","4,384"
8,1902116,18-6457,아파트,"서울특별시 노원구 상계동 652, 상계주공아파트 1106동 2층 203호",59.886㎡,42.01㎡,"350,000,000","350,000,000","신건
100%","2018.11.19
10:00",859
9,1892856,18-102461,아파트,"서울특별시 노원구 공릉동 382-14, 신명아파트 1층 104호",59.886㎡,42.01㎡,"300,000,000","300,000,000","신건
100%","2018.11.19
10:00","1,047"
10,1905133,18-103778,아파트,"서울특별시 도봉구 방학동 271-4, 신동아아파트 31동 5층 505호",59.886㎡,42.01㎡,"430,000,000","430,000,000","신건
100%","2018.11.19
10:00",548
11,1911173,18-104276,아파트,"서울특별시 중랑구 신내동 618 외5필지, 동성아파트 14동 19층 1908호",59.886㎡,42.01㎡,"300,000,000","300,000,000","신건
100%","2018.11.19
10:00",696
12,1782025,16-53363,아파트,"서울특별시 서대문구 홍제동 322-87 외2필지, 풍진베이스타운 1층 102호",59.886㎡,42.01㎡,"350,000,000","350,000,000","신건
100%","2018.11.20
10:00","1,294"
13,1787925,17-46,아파트,"서울특별시 영등포구 대림동 1119, 대림동갑을명가아파트 102동 6층 604호",59.886㎡,42.01㎡,"420,000,000","420,000,000","신건
100%","2018.11.20
10:00",976
14,1790156,17-50132,아파트,"서울특별시 서대문구 홍제동 453, 무악청구아파트 102동 1층 105호",59.886㎡,42.01㎡,"420,000,000","420,000,000","신건
100%","2018.11.20
10:00","1,660"
15,1858081,17-54080,아파트,"서울특별시 용산구 한강로3가 65-230 외5필지, 한강대우트럼프월드3 20층 101-2302호",59.886㎡,42.01㎡,"1,590,000,000","1,272,000,000","유찰1회
80%","2018.11.20
10:00","7,411"
16,1874633,18-639,아파트,"서울특별시 은평구 구산동 546, 이-편한세상2단지아파트 201동 4층 402호",59.886㎡,42.01㎡,"349,000,000","279,200,000","유찰1회
80%","2018.11.20
10:00","5,032"
17,1884078,18-2017,아파트,"서울특별시 용산구 한강로3가 63-389, 용산시티파크 1단지 9층 101-903호",59.886㎡,42.01㎡,"1,810,000,000","1,810,000,000","신건
100%","2018.11.20
10:00","1,156"
18,1887823,18-2390,아파트,"서울특별시 은평구 갈현동 465-12, 동광갈현베르빌 18층 1807호",59.886㎡,42.01㎡,"566,000,000","452,800,000","유찰1회
80%","2018.11.20
10:00","2,137"
19,1882584,18-2599,아파트,"서울특별시 양천구 신월동 350-2, 신안파크아파트 11동 5층 505호",59.886㎡,42.01㎡,"157,000,000","157,000,000","신건
100%","2018.11.21
10:00",653
20,1883327,18-2667,아파트,"서울특별시 구로구 구로동 685-124, 중앙구로하이츠아파트 5동 14층 1405호",59.886㎡,42.01㎡,"428,000,000","428,000,000","신건
100%","2018.11.21
10:00",608
21,1844827,17-9122,아파트,"서울특별시 서초구 서초동 1330, 서초동삼성쉐르빌2 14층 1401호",59.886㎡,42.01㎡,"600,000,000","600,000,000","신건
100%","2018.11.22
10:00","1,397"
