date,address,phone,num_hugi,title,max_daesil_time,daesil_price,sukbak_time,sukbak_price,hashtag
2018-11-14,서울특별시 광진구 화양동 24-15 H Avenue 건대점,50350517193,2705,H Avenue 건대점,6,"27,000",15:00,"65,000",#쿠폰혜택 #TOP100 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 성북구 동선동1가 120-1 H Avenue 성신여대점,50350516123,5331,H Avenue 성신여대점,5,"25,000",15:00,"50,000",#쿠폰혜택 #TOP100 #좋은숙박연구소 #현장적립
2018-11-14,서울특별시 강남구 역삼동 678-14 H Avenue 역삼점,50350501306,3201,H Avenue 역삼점,6,"27,000",15:00,"60,000",#쿠폰혜택 #TOP100 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 마포구 노고산동 1-74 H Avenue 이대점,50350515640,7742,H Avenue 이대점,4,"27,000",15:00,"45,000",#TOP100 #좋은숙박연구소
2018-11-14,서울특별시 강서구 화곡동 921-1,50350516620,905,HOTEL ANNE 화곡점 (호텔앤),7,"17,000",17:00,"35,000",#쿠폰혜택 #마이룸 #현장적립
2018-11-14,서울특별시 강서구 방화동 612-172 KOTEL 김포공항점,50350514929,3605,KOTEL 김포공항점,6,"18,000",20:00,"50,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 동작구 노량진동 58-11 KOTEL 노량진역점,50350514319,1468,KOTEL 노량진역점,4,"18,000",22:00,"41,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 관악구 남현동 1062-16 KOTEL 사당역점,50350502096,6076,KOTEL 사당역점,6,"20,000",21:00,"45,000",#마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 서대문구 창천동 20-46 KOTEL 신촌역점,50350514388,7551,KOTEL 신촌역점,5,"18,000",16:00,"35,000",#마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 강남구 논현동 237-9 YAJA 강남 논현점 ,50350514517,2993,YAJA 강남 논현점,6,"25,000",16:00,"60,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 강서구 화곡동 24-60 YAJA 강서구청점,50350502227,2345,YAJA 강서구청점,5,"20,000",18:00,"40,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 성동구 송정동 20-10 YAJA 건대점,50350500010,2364,YAJA 건대점,6,"20,000",17:00,"40,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 동대문구 휘경동 336 YAJA 경희대점,50350500902,1096,YAJA 경희대점,5,"20,000",18:00,"42,000",#쿠폰혜택 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 동대문구 제기동 1142-4 YAJA 고려대점 ,50350500608,1052,YAJA 고려대점,5,"20,000",18:00,"45,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 서초구 서초동 1591-8 YAJA 서초점,50350516691,3643,YAJA 서초점,6,"22,000",18:00,"45,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 성북구 동선동4가 20 YAJA 성신여대역점,50350515280,5626,YAJA 성신여대역점,6,"22,000",18:00,"40,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 강북구 미아동 160-26 YAJA 수유 미아점 ,50350500183,3774,YAJA 수유 미아점,6,"17,000",17:00,"30,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 관악구 신림동 1423-30 YAJA 신림 1호점 ,50350500514,5091,YAJA 신림 1호점,5,"19,000",18:00,"40,000",#쿠폰혜택 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 관악구 신림동 1422-8 YAJA 신림 2호점 ,50350501127,4902,YAJA 신림 2호점,6,"19,000",14:00,"40,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 서대문구 창천동 29-59 YAJA 신촌점 ,50350500147,1913,YAJA 신촌점,5,"25,000",19:00,"45,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 광진구 구의동 59-14 YAJA 아차산역점,50350502250,493,YAJA 아차산역점,4,"25,000",19:00,"50,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 은평구 대조동 186-52 YAJA 연신내역점,50350502263,1055,YAJA 연신내역점,6,"20,000",18:00,"40,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 영등포구 영등포동3가 2-3 YAJA 영등포점,50350500786,7339,YAJA 영등포점,5,"20,000",16:00,"35,000",#쿠폰혜택 #TOP100 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 성동구 도선동 100 YAJA 왕십리역점 ,50350501610,3020,YAJA 왕십리역점,4,"25,000",18:00,"35,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 성동구 용답동 228-10 YAJA 장한평역점 ,50350501536,1077,YAJA 장한평역점,6,"20,000",18:00,"40,000",#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 종로구 낙원동 86 YAJA 종로점,50350515011,7634,YAJA 종로점,5,"22,000",18:00,"40,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 강동구 천호동 454-57 YAJA 천호역점,50350502094,1308,YAJA 천호역점,6,"18,000",18:00,"37,000",#쿠폰혜택 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 마포구 서교동 377-1 YAJA 홍대점,50350501219,3989,YAJA 홍대점,5,"23,000",20:00,"58,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 강서구 화곡동 901-26 YAJA 화곡점 ,50350501704,1971,YAJA 화곡점,6,"18,000",18:00,"35,000",#쿠폰혜택 #좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 동대문구 제기동 67-209 YAM 고려대점 ,50350501858,993,YAM 고려대점,6,"17,000",18:00,"30,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 광진구 구의동 246-13 YAM 구의역점 ,50350502179,1863,YAM 구의역점,5,"18,000",18:00,"40,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 송파구 방이동 42 YAM 방이점,50350515132,1571,YAM 방이점,7,"20,000",18:00,"40,000",#좋은숙박연구소 #현장적립 #최저가보상
2018-11-14,서울특별시 서초구 반포동 94-7 YAM 서래마을점 ,50350500623,1796,YAM 서래마을점,5,"18,000",18:00,"45,000",#쿠폰혜택 #좋은숙박연구소 #현장적립
2018-11-14,서울특별시 금천구 가산동 139-19,50350500942,667,가산 마리호텔,6,"30,000",17:00,"60,000",#쿠폰혜택 #현장적립
2018-11-14,서울특별시 금천구 가산동 141-1,50350500424,916,가산 마인드호텔,5,"25,000",18:00,"65,000",#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상
2018-11-14,서울특별시 금천구 가산동 140-83,50350501236,921,가산 뷰,6,"20,000",18:00,"45,000",#쿠폰혜택 #현장적립 #최저가보상
