"date","address","phone","num_hugi","title","max_daesil_time","daesil_price","sukbak_time","sukbak_price","hashtag","content"
"2018-11-16","서울특별시 광진구 화양동 24-15 H Avenue 건대점","050350517193","2711","H Avenue 건대점","6","27,000","15:00","100,000","#TOP100 #좋은숙박연구소 #현장적립 #최저가보상","◆ 서울 도심 야외 온수풀 오픈 ◆◆ STANDARD BATTERY PACK ◆◆ 굿 ~모닝 패키지 ◆"
"2018-11-16","서울특별시 성북구 동선동1가 120-1 H Avenue 성신여대점","050350516123","5333","H Avenue 성신여대점","5","30,000","15:00","80,000","#TOP100 #좋은숙박연구소 #현장적립","[모든 숙박 고객 대상 조식 무료][인스타그램 인증하고 야놀자 사은품 받자][C 132 X We Talk ]"
"2018-11-16","서울특별시 강남구 역삼동 678-14 H Avenue 역삼점","050350501306","3202","H Avenue 역삼점","4","30,000","15:00","90,000","#TOP100 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","'디럭스 트윈' 객실 오픈 기념 이벤트 안내*비즈니스 고객님!, 두 분이서 오세요! ** 아메리카노 무료 제공 *"
"2018-11-16","서울특별시 강서구 화곡동 921-1","050350516620","907","HOTEL ANNE 화곡점 (호텔앤)","4","20,000","22:00","55,000","#쿠폰혜택 #마이룸 #현장적립",""
"2018-11-16","서울특별시 강서구 방화동 612-172 KOTEL 김포공항점","050350514929","3605","KOTEL 김포공항점","6","18,000","22:00","65,000","#마이룸 #좋은숙박연구소 #현장적립 #최저가보상","대실 이용시간 1시간 추가 제공 Event!수화물 보관 서비스(이른 아침부터)숙박 스탬프 쿠폰 이벤트!"
"2018-11-16","서울특별시 동작구 노량진동 58-11 KOTEL 노량진역점","050350514319","1469","KOTEL 노량진역점","4","18,000","22:00","56,000","#좋은숙박연구소 #현장적립 #최저가보상","◆ UBER EATS- 맛집 배달 앱 '우버이츠' 특별 룸 서비스 ◆◆ 주말 대실 연장 이벤트 ◆◆ 고객님들에게 편안한 휴식을 제공하는 KOTEL 노량진역점이 되겠습니다 ◆"
"2018-11-16","서울특별시 관악구 남현동 1062-16 KOTEL 사당역점","050350502096","6084","KOTEL 사당역점","6","25,000","21:00","70,000","#마이룸 #좋은숙박연구소 #현장적립 #최저가보상","* 대학생 고객님 할인 EVENT ** 다이닝룸 이용 안내 ** 향수 EVENT *"
"2018-11-16","서울특별시 강남구 논현동 237-9 YAJA 강남 논현점 ","050350514517","2993","YAJA 강남 논현점","6","25,000","17:00","80,000","#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","대실 EVENT주중 무한대실 / 야간대실 EVENT!주중 이용 후기 작성 이벤트"
"2018-11-16","서울특별시 강서구 화곡동 24-60 YAJA 강서구청점","050350502227","2345","YAJA 강서구청점","5","20,000","20:00","55,000","#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","스템프 이벤트평일 객실 업그레이드 이벤트(현장결제 고객님에 한함)대실 시간안내"
"2018-11-16","서울특별시 성동구 송정동 20-10 YAJA 건대점","050350500010","2369","YAJA 건대점","6","20,000","20:00","65,000","#좋은숙박연구소 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 동대문구 휘경동 336 YAJA 경희대점","050350500902","1097","YAJA 경희대점","5","20,000","21:00","55,000","#쿠폰혜택 #좋은숙박연구소 #현장적립 #최저가보상","★호텔야자 경희대점 새단장 이벤트★퍼주는 먹거리 Event"
"2018-11-16","서울특별시 동대문구 제기동 1142-4 YAJA 고려대점 ","050350500608","1054","YAJA 고려대점","5","20,000","20:00","65,000","#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","대~한민국! 승리를 부탁해 ★다양한 먹거리!!!!호텔 야자 고려대점에 오면 포인트 적립이 두번!!"
"2018-11-16","서울특별시 서초구 서초동 1591-8 YAJA 서초점","050350516691","3647","YAJA 서초점","5","23,000","21:00","70,000","#마이룸 #좋은숙박연구소 #현장적립 #최저가보상","◆ UBER EATS- 맛집 배달 앱 '우버이츠' 특별 룸 서비스 ◆YAJA 서초점 무한대실 EVENT♡YAJA 서초점 대실 5+1 이벤트"
"2018-11-16","서울특별시 성북구 동선동4가 20 YAJA 성신여대역점","050350515280","5629","YAJA 성신여대역점","5","22,000","18:00","66,000","#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","★카카오 이벤트 진행 중 (쿠폰 모음 시 다양한 카카오 선물 증정)★ 예약 특가 이벤트 상시 진행중 ★☆ 후기 선정 Event ☆"
"2018-11-16","서울특별시 강북구 미아동 160-26 YAJA 수유 미아점 ","050350500183","3779","YAJA 수유 미아점","6","17,000","19:00","35,000","#좋은숙박연구소 #현장적립 #최저가보상","무한대실 이벤트 (월 ~ 금)&hearts;주말대실 시간연장 이벤트 (토, 일, 공휴일)&hearts;대실 5+1, 숙박 7+1 이벤트 진행&hearts;"
"2018-11-16","서울특별시 관악구 신림동 1423-30 YAJA 신림 1호점 ","050350500514","5096","YAJA 신림 1호점","5","19,000","20:00","60,000","#좋은숙박연구소 #현장적립 #최저가보상","평일 무한대실 EVENT대실/숙박 7+1 스템프 EVENT ~♡,로얄프리미엄 객실이상 부터 월풀 사용가능~!최신 컴퓨터,최신 욕조로 Up~! Up~!"
"2018-11-16","서울특별시 관악구 신림동 1422-8 YAJA 신림 2호점 ","050350501127","4904","YAJA 신림 2호점","6","19,000","20:00","60,000","#좋은숙박연구소 #현장적립 #최저가보상","숙박24시간 특별이벤트!!!&hearts;전객실 라텍스 침대 교체 및 욕조 교체 , 공기청정기 설치!고사양 컴퓨터 업그레이드!!"
"2018-11-16","서울특별시 광진구 구의동 59-14 YAJA 아차산역점","050350502250","493","YAJA 아차산역점","3","25,000","21:00","55,000","#좋은숙박연구소 #현장적립 #최저가보상","주중 스탬프 쿠폰 5+1 이벤트!"
"2018-11-16","서울특별시 은평구 대조동 186-52 YAJA 연신내역점","050350502263","1055","YAJA 연신내역점","4","30,000","22:00","50,000","#쿠폰혜택 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 영등포구 영등포동3가 2-3 YAJA 영등포점","050350500786","7343","YAJA 영등포점","5","20,000","16:00","55,000","#쿠폰혜택 #TOP100 #마이룸 #좋은숙박연구소 #현장적립 #최저가보상","★★ 1.평일무한대실 2.야간대실오픈 3.대학생분들을 위한 특별이벤트 4.주말휴일오후2시이전대실1시간무료추가 ★★★Dining Room에 아메리카노 및 각종 음료,떡볶이,토스트,모닝빵,라면,시리얼,과자 무료제공/세탁 및 요리도가능(드럼세탁기,전자렌지,각종식기 및 인덕션구비)★★전 세계 명품 향수바 무료사용, 모든 객실 최고급 천연 디퓨저 설치/각종보드게임 구비 / 전객실 고대기 비치 / 렌즈 케이스 및 보관액 서비스★"
"2018-11-16","서울특별시 성동구 도선동 100 YAJA 왕십리역점 ","050350501610","3025","YAJA 왕십리역점","4","30,000","23:00","75,000","#좋은숙박연구소 #현장적립 #최저가보상","주중 숙박 오픈 특가 이벤트 !!실시간 Photo 후기 등록 이벤트 !!선착순 숙박 Sale 이벤트 !!"
"2018-11-16","서울특별시 성동구 용답동 228-10 YAJA 장한평역점 ","050350501536","1078","YAJA 장한평역점","6","20,000","21:00","50,000","#마이룸 #좋은숙박연구소 #현장적립 #최저가보상","5+1 스탬프 이벤트♥ 가격할인 이벤트!! 파격 할인된 가격 !! 지금 바로 확인하세요얼리버드 대실 이벤트!!"
